record_id,crop_id,farmer_id,location_id,weather_id,pest_id,disease_id,crop_name,farmer_name,location_name,weather_type,pest_name,disease_name,monitoring_date,growth_stage,soil_type,irrigation_method,pest_severity,disease_severity,crop_yield_tons_ha,temperature_c,humidity_pct,rainfall_mm,soil_ph,ndvi_index,health_score,fertilizer_kg_ha,pesticide_l_ha,farm_area_ha,water_usage_l,year,month,quarter,month_name,day_of_week,week_number,total_revenue,yield_category,health_category,pest_risk_score,disease_risk_score,combined_risk,water_efficiency
REC0001,CR001,F013,LOC001,WTH001,PST001,DIS001,Wheat,Farmer_F013,Punjab,Sunny,Aphids,Blight,2024-10-16,Fruiting,Alluvial,Canal,High,Low,4.12,19.6,79.3,239.1,6.19,0.638,39.9,262.5,9.91,4.04,1042.7,2024,10,4,October,Wednesday,42,249672.0,Medium,Poor,3,1,4,3.9513
REC0002,CR002,F046,LOC002,WTH002,PST002,DIS002,Rice,Farmer_F046,Haryana,Cloudy,Whitefly,Rust,2023-04-25,Flowering,Clay,Drip,Medium,Low,8.16,22.5,31.6,184.4,5.25,0.737,70.0,99.1,5.64,14.52,424.1,2023,4,2,April,Tuesday,17,1777248.0,Very High,Good,2,1,3,19.2407
REC0003,CR003,F045,LOC003,WTH003,PST003,DIS003,Maize,Farmer_F045,Up,Rainy,Thrips,Smut,2023-01-26,Flowering,Clay,Drip,Critical,High,,19.8,31.4,88.3,6.43,0.3,43.0,81.4,72.75,14.39,1334.1,2023,1,1,January,Thursday,4,,,Fair,4,3,7,
REC0004,CR004,F025,LOC004,WTH004,PST004,DIS004,Soybean,Farmer_F025,Mp,Humid,Stem Borer,Powdery Mildew,2023-10-09,Harvesting,Clay,Rain-Fed,Critical,Medium,5.69,17.4,51.0,74.1,6.09,0.6,49.5,290.9,15.21,4.09,997.1,2023,10,4,October,Monday,41,349081.5,High,Fair,4,2,6,5.7065
REC0005,CR005,F032,LOC005,WTH005,PST005,DIS005,Cotton,Farmer_F032,Rajasthan,Dry,Bollworm,Downy Mildew,2023-09-08,Fruiting,Clay,Flood,Medium,Critical,2.59,18.3,61.8,87.4,7.37,0.557,45.3,77.0,65.7,5.55,404.4,2023,9,3,September,Friday,36,215617.5,Medium,Fair,2,4,6,6.4045
REC0006,CR006,F026,LOC006,WTH006,PST006,DIS006,Wheat,Farmer_F026,Maharashtra,Windy,Locust,Leaf Spot,2023-08-17,Germination,Laterite,Drip,Critical,Medium,2.59,27.4,80.1,193.7,7.12,0.766,42.8,169.6,43.57,13.49,1451.0,2023,8,3,August,Thursday,33,524086.5,Medium,Fair,4,2,6,1.785
REC0007,CR007,F016,LOC007,WTH007,PST007,DIS007,Potato,Farmer_F016,Gujarat,Stormy,Cutworm,Root Rot,2023-05-23,Flowering,Loamy,Canal,Critical,Low,1.91,20.6,74.4,165.3,6.28,0.825,87.8,196.4,6.23,14.52,873.9,2023,5,2,May,Tuesday,21,415998.0,Low,Excellent,4,1,5,2.1856
REC0008,CR008,F010,LOC008,WTH008,PST008,DIS008,Tomato,Farmer_F010,Karnataka,Foggy,Mealybug,Mosaic Virus,2023-04-15,Harvesting,Alluvial,Drip,Medium,Low,7.56,24.8,59.0,46.3,5.76,0.11,50.0,185.3,76.44,6.93,294.8,2023,4,2,April,Saturday,15,785862.0,Very High,Fair,2,1,3,25.6445
REC0009,CR009,F042,LOC009,WTH001,PST009,DIS009,Barley,Farmer_F042,Ap,Sunny,Armyworm,Wilt,2024-11-23,Fruiting,Red,Drip,Critical,High,5.71,28.6,47.8,43.5,8.46,0.639,94.9,71.5,19.76,5.15,1014.9,2024,11,4,November,Saturday,47,441097.5,High,Excellent,4,3,7,5.6262
REC0010,CR010,F045,LOC010,WTH002,PST010,DIS010,Millet,Farmer_F045,Bihar,Cloudy,Leafhopper,Anthracnose,2024-07-12,Flowering,Silt,Rain-Fed,Medium,Critical,6.46,33.6,94.8,24.6,6.59,0.141,97.9,64.3,68.77,8.13,529.2,2024,7,3,July,Friday,28,787797.0,High,Excellent,2,4,6,12.2071
